Phenotype,HGNC
"Cardiomyopathy, dilated, with woolly hair and keratoderma",DSP
"Dilated cardiomyopathy with woolly hair, keratoderma, and tooth agenesis",DSP
"Epidermolysis bullosa, lethal acantholytic",DSP
Keratosis palmoplantaris striata II,DSP
"Cardiomyopathy, dilated, 1I",DES
"Myopathy, myofibrillar, 1",DES
"Scapuloperoneal syndrome, neurogenic, Kaeser type",DES
"Erythroderma, congenital, with palmoplantar keratoderma, hypotrichosis, and hyper IgE",DSG1
"Keratosis palmoplantaris striata I, AD",DSG1
Arrhythmogenic right ventricular dysplasia 10,DSG2
"Cardiomyopathy, dilated, 1BB",DSG2
"{Benzene toxicity, susceptibility to}",NQO1
"{Breast cancer, poor survival after chemotherapy for}",NQO1
"{Leukemia, post-chemotherapy, susceptibility to}",NQO1
Megaloblastic anemia due to dihydrofolate reductase deficiency,DHFR
Pheochromocytoma/paraganglioma syndrome 7,DLST
Miller syndrome,DHODH
"Hypercalcemia, infantile, 1",CYP24A1
"Hyperphenylalaninemia, BH4-deficient, D",PCBD1
"{Ventricular fibrillation, paroxysmal familial, 2}",DPP6
"Intellectual developmental disorder, autosomal dominant 33",DPP6
"{Diphtheria, susceptibility to}",HBEGF
?Cerebrooculofacioskeletal syndrome 2,ERCC2
"Trichothiodystrophy 1, photosensitive",ERCC2
"Xeroderma pigmentosum, group D",ERCC2
Autoinflammatory-pancytopenia syndrome,DNASE2
"Cerebellar ataxia, deafness, and narcolepsy, autosomal dominant",DNMT1
"Neuropathy, hereditary sensory, type IE",DNMT1
Cerebrooculofacioskeletal syndrome 4,ERCC1
Immunodeficiency 96,LIG1
"DNA topoisomerase I, camptothecin-resistant",TOP1
"DNA topoisomerase II, resistance to inhibition of, by amsacrine",TOP2A
"B-cell immunodeficiency, distal limb anomalies, and urogenital malformations",TOP2B
"{Essential tremor, hereditary, 1}",DRD3
{Attention deficit-hyperactivity disorder},DRD4
Autonomic nervous system dysfunction,DRD4
"{Attention deficit-hyperactivity disorder, susceptibility to}",DRD5
"{Blepharospasm, primary benign}",DRD5
"{Nicotine dependence, protection against}","SLC6A3,GABBR2"
"Parkinsonism-dystonia, infantile, 1",SLC6A3
"Diarrhea 1, secretory chloride, congenital",SLC26A3
"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 9",DAG1
"Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 9",DAG1
Hypotrichosis 11,SNRPE
"Charcot-Marie-Tooth disease, type 1D",EGR2
Dejerine-Sottas disease,"EGR2,MPZ,PMP22,PRX"
"Hypomyelinating neuropathy, congenital, 1",EGR2
Calcification of joints and arteries,NT5E
"Neutropenia, cyclic",ELANE
"Neutropenia, severe congenital 1, autosomal dominant",ELANE
"Cutis laxa, autosomal dominant",ELN
Supravalvar aortic stenosis,ELN
Glutaric acidemia IIB,ETFB
Elliptocytosis-1,EPB41
?Spinocerebellar ataxia 26,EEF2
"Macrocytic anemia, refractory, due to 5q deletion, somatic",RPS14
"Neuronopathy, distal hereditary motor, autosomal dominant 10",EMILIN1
"Telangiectasia, hereditary hemorrhagic, type 1",ENG
Mitochondrial DNA depletion syndrome 1 (MNGIE type),TYMP
"{Pregnancy loss, recurrent, susceptibility to, 3}",ANXA5
Auriculocondylar syndrome 3,EDN1
"Question mark ears, isolated",EDN1
"{Hirschsprung disease, susceptibility to, 4}",EDN3
"Waardenburg syndrome, type 4B",EDN3
"{Migraine, resistance to}",EDNRA
Mandibulofacial dysostosis with alopecia,EDNRA
?ABCD syndrome,EDNRB
"{Hirschsprung disease, susceptibility to, 2}",EDNRB
"Waardenburg syndrome, type 4A",EDNRB
"?ENDOVE syndrome, limb-brain type",EN1
"Hypoparathyroidism, sensorineural deafness, and renal dysplasia",GATA3
Spinocerebellar ataxia 23,PDYN
Glycogen storage disease XIII,ENO3
[Eosinophil peroxidase deficiency],EPX
"?Hypomagnesemia 4, renal",EGF
"?Inflammatory skin and bowel disease, neonatal, 2",EGFR
"{Nonsmall cell lung cancer, susceptibility to}",EGFR
"Adenocarcinoma of lung, response to tyrosine kinase inhibitor in",EGFR
"Nonsmall cell lung cancer, response to tyrosine kinase inhibitor in",EGFR
"{Hypercholesterolemia, familial, due to LDLR defect, modifier of}",EPHX2
Bosch-Boonstra-Schaaf optic atrophy syndrome,NR2F1
?Diamond-Blackfan anemia-like,EPO
{Microvascular complications of diabetes 2},EPO
"Erythrocytosis, familial, 5",EPO
"[Erythrocytosis, familial, 1]",EPOR
"{Migraine, susceptibility to}",ESR1
"Breast cancer, somatic","ESR1,AKT1,PIK3CA,KRAS,TP53,SLC22A18,PPM1D,RB1CC1"
Estrogen resistance,ESR1
"{Autism, susceptibility to, 19}",EIF4E
Ewing sarcoma,EWSR1
Neuroepithelioma,EWSR1
"Trichothiodystrophy 2, photosensitive",ERCC3
"Xeroderma pigmentosum, group B",ERCC3
"Fanconi anemia, complementation group Q",ERCC4
"Xeroderma pigmentosum, group F",ERCC4
"Xeroderma pigmentosum, type F/Cockayne syndrome",ERCC4
XFE progeroid syndrome,ERCC4
Cerebrooculofacioskeletal syndrome 3,ERCC5
"Xeroderma pigmentosum, group G",ERCC5
"Xeroderma pigmentosum, group G/Cockayne syndrome",ERCC5
{?Schizophrenia susceptibility 18},SLC1A1
Dicarboxylic aminoaciduria,SLC1A1
Complement factor D deficiency,CFD
"{Hemolytic uremic syndrome, atypical, susceptibility to, 1}",CFH
"{Macular degeneration, age-related, 4}",CFH
Basal laminar drusen,CFH
Complement factor H deficiency,CFH
"{Hemolytic uremic syndrome, atypical, susceptibility to}","CFHR1,CFHR3"
"{Macular degeneration, age-related, reduced risk of}","CFHR1,CFHR3"
"{Myocardial infarction, protection against}",F13A1
"{Venous thrombosis, protection against}",F13A1
Factor XIIIA deficiency,F13A1
Factor XIIIB deficiency,F13B
"Porokeratosis 9, multiple types",FDPS
{Autoimmune lymphoproliferative syndrome},FAS
"Autoimmune lymphoproliferative syndrome, type IA",FAS
"Squamous cell carcinoma, burn scar-related, somatic",FAS
"{Lung cancer, susceptibility to}","FASLG,ERCC6"
"Autoimmune lymphoproliferative syndrome, type IB",FASLG
"?Hemochromatosis, type 5",FTH1
Neurodegeneration with brain iron accumulation 9,FTH1
Hyperferritinemia-cataract syndrome,FTL
"L-ferritin deficiency, dominant and recessive",FTL
Neurodegeneration with brain iron accumulation 3,FTL
Acromicric dysplasia,FBN1
"Ectopia lentis, familial",FBN1
Geleophysic dysplasia 2,FBN1
Marfan lipodystrophy syndrome,FBN1
Marfan syndrome,FBN1
MASS syndrome,FBN1
Stiff skin syndrome,FBN1
"Weill-Marchesani syndrome 2, dominant",FBN1
"Afibrinogenemia, congenital","FGA,FGB,FGG"
"Amyloidosis, familial visceral",FGA
"Dysfibrinogenemia, congenital","FGA,FGB,FGG"
"Hypodysfibrinogenemia, congenital",FGA
"Hypofibrinogenemia, congenital","FGB,FGG"
Hypodysfibrinogenemia,FGG
Achondroplasia,FGFR3
"Bladder cancer, somatic","FGFR3,HRAS,KRAS,RB1"
CATSHL syndrome,FGFR3
"Cervical cancer, somatic",FGFR3
Crouzon syndrome with acanthosis nigricans,FGFR3
Hypochondroplasia,FGFR3
LADD syndrome 2,FGFR3
Muenke syndrome,FGFR3
"Nevus, epidermal, somatic","FGFR3,PIK3CA"
SADDAN,FGFR3
"Spermatocytic seminoma, somatic",FGFR3
"Thanatophoric dysplasia, type I",FGFR3
"Thanatophoric dysplasia, type II",FGFR3
{Cancer progression/metastasis},FGFR4
Glomerulopathy with fibronectin deposits 2,FN1
"Spondylometaphyseal dysplasia, corner fracture type",FN1
"Synpolydactyly, 3/3'4, associated with metacarpal and metatarsal synostoses",FBLN1
"{Dermatitis, atopic, susceptibility to, 2}",FLG
Ichthyosis vulgaris,FLG
Trimethylaminuria,FMO3
"Encephalocraniocutaneous lipomatosis, somatic mosaic",FGFR1
Hartsfield syndrome,FGFR1
Hypogonadotropic hypogonadism 2 with or without anosmia,FGFR1
Jackson-Weiss syndrome,"FGFR1,FGFR2"
Osteoglophonic dysplasia,FGFR1
Pfeiffer syndrome,"FGFR1,FGFR2"
Trigonocephaly 1,FGFR1
"Leukemia, acute lymphoblastic, somatic","FLT3,GNB1"
"Leukemia, acute myeloid, reduced survival in, somatic",FLT3
"Congenital heart defects, multiple types, 7",FLT4
"Hemangioma, capillary infantile, somatic","FLT4,KDR"
Lymphatic malformation 1,FLT4
Neurodegeneration due to cerebral folate transport deficiency,FOLR1
Ovarian dysgenesis 1,FSHR
Ovarian hyperstimulation syndrome,FSHR
Ovarian response to FSH stimulation,FSHR
Erythrokeratodermia variabilis et progressiva 4,KDSR
Hypogonadotropic hypogonadism 24 without anosmia,FSHB
"Rhabdomyosarcoma, alveolar",FOXO1
[Fucosyltransferase 6 deficiency],FUT6
Fumarase deficiency,FH
Leiomyomatosis and renal cell cancer,FH
Galactosemia IV,GALM
"?Epilepsy, familial temporal lobe, 8",GAL
Combined low LDL and fibrinogen,B4GALT1
"Congenital disorder of glycosylation, type IId",B4GALT1
"Amyotrophic lateral sclerosis 6, with or without frontotemporal dementia",FUS
"Essential tremor, hereditary, 4",FUS
"{Alcohol dependence, susceptibility to}","GABRA2,HTR2A,TAS2R16"
Developmental and epileptic encephalopathy 78,GABRA2
Developmental and epileptic encephalopathy 79,GABRA5
GABA-transaminase deficiency,ABAT
"{Epilepsy, childhood absence, susceptibility to, 4}",GABRA1
"{Epilepsy, juvenile myoclonic, susceptibility to, 5}",GABRA1
Developmental and epileptic encephalopathy 19,GABRA1
"{Epilepsy, idiopathic generalized, 10}",GABRD
"{Epilepsy, juvenile myoclonic, susceptibility to}",GABRD
"{Generalized epilepsy with febrile seizures plus, type 5, susceptibility to}",GABRD
Developmental and epileptic encephalopathy 74,GABRG2
"Febrile seizures, familial, 8",GABRG2
"Generalized epilepsy with febrile seizures plus, type 3",GABRG2
Myoclonic-atonic epilepsy,SLC6A1
Pseudoxanthoma elasticum-like disorder with multiple coagulation factor deficiency,GGCX
"Vitamin K-dependent clotting factors, combined deficiency of, 1",GGCX
"[Gamma-glutamyltransferase, familial high serum]",GGT2P
Developmental and epileptic encephalopathy 45,GABRB1
"{Epilepsy, childhood absence, susceptibility to, 5}",GABRB3
Developmental and epileptic encephalopathy 43,GABRB3
"Cleft palate, proliferative retinopathy, and developmental delay",LRRC32
"Corneal dystrophy, gelatinous drop-like",TACSTD2
"{Leukemia, acute myeloid, susceptibility to}",GATA2
"{Myelodysplastic syndrome, susceptibility to}",GATA2
Emberger syndrome,GATA2
Immunodeficiency 21,GATA2
"Amyloidosis, Finnish type",GSN
Alexander disease,GFAP
"Charcot-Marie-Tooth disease, axonal, type 2EE",MPV17
Mitochondrial DNA depletion syndrome 6 (hepatocerebral type),MPV17
Mahvash disease,GCGR
Glucocorticoid resistance,NR3C1
"Diabetes mellitus, noninsulin-dependent, late onset",GCK
"Diabetes mellitus, permanent neonatal 1",GCK
"Hyperinsulinemic hypoglycemia, familial, 3",GCK
"MODY, type II",GCK
Cortisone reductase deficiency 1,H6PD
Hyperinsulinism-hyperammonemia syndrome,GLUD1
"{Epilepsy, idiopathic generalized, susceptibility to, 12}",SLC2A1
Dystonia 9,SLC2A1
"GLUT1 deficiency syndrome 1, infantile onset, severe",SLC2A1
"GLUT1 deficiency syndrome 2, childhood onset",SLC2A1
Stomatin-deficient cryohydrocytosis with neurologic defects,SLC2A1
Developmental and epileptic encephalopathy 82,GOT2
"{Diabetes mellitus, noninsulin-dependent}","SLC2A2,LIPC,HNF4A,IRS2,MAPK8IP1"
Fanconi-Bickel syndrome,SLC2A2
"Aspartate aminotransferase, serum level of, QTL1",GOT1
Neurodevelopmental disorder with microcephaly and spastic paraplegia,GPT2
"Intellectual developmental disorder, autosomal recessive 6",GRIK2
Neurodevelopmental disorder with impaired language and ataxia and with or without seizures,GRIK2
Neurodevelopmental disorder with or without seizures and gait abnormalities,GRIA4
Neurodevelopmental disorder with language impairment and behavioral abnormalities,GRIA2
"?Intellectual developmental disorder, autosomal recessive 76",GRIA1
"Intellectual developmental disorder, autosomal dominant 67",GRIA1
Developmental and epileptic encephalopathy 101,GRIN1
"Neurodevelopmental disorder with or without hyperkinetic movements and seizures, autosomal dominant",GRIN1
"Neurodevelopmental disorder with or without hyperkinetic movements and seizures, autosomal recessive",GRIN1
"Cutis laxa, autosomal dominant 3",ALDH18A1
"Cutis laxa, autosomal recessive, type IIIA",ALDH18A1
"Spastic paraplegia 9A, autosomal dominant",ALDH18A1
"Spastic paraplegia 9B, autosomal recessive",ALDH18A1
Developmental and epileptic encephalopathy 27,GRIN2B
"Intellectual developmental disorder, autosomal dominant 6, with or without seizures",GRIN2B
"Epilepsy, focal, with speech disorder and with or without impaired intellectual development",GRIN2A
"?Infantile cataract, skin abnormalities, glutamate excess, and impaired intellectual development",GLS
Developmental and epileptic encephalopathy 71,GLS
"Global developmental delay, progressive ataxia, and elevated glutamine",GLS
"Glutamine deficiency, congenital",GLUL
"Myasthenia, congenital, 12, with tubular aggregates",GFPT1
"Leukodystrophy, hypomyelinating, 15",EPRS1
Hemolytic anemia due to glutathione reductase deficiency,GSR
Hemolytic anemia due to glutathione peroxidase deficiency,GPX1
"Spondylometaphyseal dysplasia, Sedaghatian type",GPX4
"Hypertriglyceridemia, transient infantile",GPD1
"{Type 2 diabetes mellitus, susceptibility to}","GPD2,IRS1,HMGA1,NEUROD1"
"Neurodevelopmental disorder with cardiomyopathy, spasticity, and brain abnormalities",SHMT2
?Complement factor B deficiency,CFB
"{Hemolytic uremic syndrome, atypical, susceptibility to, 4}",CFB
"{Macular degeneration, age-related, 14, reduced risk of}","CFB,C2"
"?Exercise intolerance, riboflavin-responsive",SLC25A32
Hyperekplexia 1,GLRA1
Hyperekplexia 2,GLRB
"Glycogen storage disease 0, muscle",GYS1
"Glycogen storage disease 0, liver",GYS2
?Alopecia-intellectual disability syndrome 1,AHSG
"Bernard-Soulier syndrome, type B",GP1BB
"Giant platelet disorder, isolated",GP1BB
[Glyoxalase II deficiency],HAGH
Hypogonadotropic hypogonadism 7 without anosmia,GNRHR
"Short stature, auditory canal atresia, mandibular hypoplasia, skeletal abnormalities",GSC
"Aphasia, primary progressive",GRN
"Ceroid lipofuscinosis, neuronal, 11",GRN
Frontotemporal lobar degeneration with ubiquitin-positive inclusions,GRN
"?Neutrophilia, hereditary",CSF3R
"Neutropenia, severe congenital, 7, autosomal recessive",CSF3R
"Surfactant metabolism dysfunction, pulmonary, 5",CSF2RB
"Night blindness, congenital stationary, type 1H",GNB3
"Basal cell carcinoma, somatic","RASA1,PTCH1,SMO,PTCH2"
Capillary malformation-arteriovenous malformation 1,RASA1
?Isolated growth hormone deficiency due to defect in GHRF,GHRH
Gigantism due to GHRF hypersecretion,GHRH
"Growth hormone deficiency, isolated, type IV",GHRHR
"Growth hormone deficiency, isolated, type IA",GH1
"Growth hormone deficiency, isolated, type IB",GH1
"Growth hormone deficiency, isolated, type II",GH1
Kowarski syndrome,GH1
"Neurodevelopmental disorder with hypotonia, impaired speech, and behavioral abnormalities",GNAI1
Developmental and epileptic encephalopathy 17,GNAO1
Neurodevelopmental disorder with involuntary movements,GNAO1
Dystonia 25,GNAL
"Hypocalcemia, autosomal dominant 2",GNA11
"Hypocalciuric hypercalcemia, type II",GNA11
ACTH-independent macronodular adrenal hyperplasia,GNAS
"McCune-Albright syndrome, somatic, mosaic",GNAS
"Osseous heteroplasia, progressive",GNAS
"Pituitary adenoma 3, multiple types, somatic",GNAS
Pseudohypoparathyroidism Ia,GNAS
Pseudohypoparathyroidism Ib,"GNAS,STX16,GNAS-AS1"
Pseudohypoparathyroidism Ic,GNAS
Pseudopseudohypoparathyroidism,GNAS
"Night blindness, congenital stationary, autosomal dominant 3",GNAT1
"Night blindness, congenital stationary, type 1G",GNAT1
Achromatopsia 4,GNAT2
Epidermolytic hyperkeratosis 1,KRT1
"Ichthyosis histrix, Curth-Macklin type",KRT1
"Ichthyosis, annular epidermolytic 2",KRT1
Keratosis palmoplantaris striata III,KRT1
"Palmoplantar keratoderma, epidermolytic, 2",KRT1
"Palmoplantar keratoderma, nonepidermolytic",KRT1
"Pituitary adenoma, ACTH-secreting, somatic",GNAI2
"Ventricular tachycardia, idiopathic",GNAI2
Auriculocondylar syndrome 1,GNAI3
"Intellectual developmental disorder, autosomal dominant 42",GNB1
"Myelodysplastic syndrome, somatic","GNB1,SF3B1,TET2,ASXL1"
?Sick sinus syndrome 4,GNB2
Neurodevelopmental disorder with hypotonia and dysmorphic facies,GNB2
Moyamoya 6 with achalasia,GUCY1A1
[Anhaptoglobinemia],HP
[Hypohaptoglobinemia],HP
Immunodeficiency 72 with autoinflammation,NCKAP1L
"{Pulmonary disease, chronic obstructive, susceptibility to}",HMOX1
Heme oxygenase-1 deficiency,HMOX1
"Erythrocytosis, familial, 7","HBA1,HBA2"
"Heinz body anemias, alpha-",HBA1
"Hemoglobin H disease, nondeletional",HBA1
"Methemoglobinemia, alpha type",HBA1
"Thalassemias, alpha-",HBA1
Heinz body anemia,"HBA2,HBB"
"Hemoglobin H disease, deletional and nondeletional",HBA2
"Thalassemia, alpha-",HBA2
Delta-beta thalassemia,HBB
"Erythrocytosis, familial, 6",HBB
Hereditary persistence of fetal hemoglobin,HBB
"Methemoglobinemia, beta type",HBB
Sickle cell disease,HBB
"Thalassemia-beta, dominant inclusion-body",HBB
"Thalassemia, beta",HBB
Thalassemia due to Hb Lepore,HBD
"Thalassemia, delta-",HBD
Fetal hemoglobin quantitative trait locus 1,"HBG1,HBG2"
Rahman syndrome,H1-4
"Cyanosis, transient neonatal",HBG2
Thrombophilia 10 due to heparin cofactor II deficiency,SERPIND1
Autoinflammation with pulmonary and cutaneous vasculitis,HCK
"Deafness, autosomal recessive 39",HGF
"{Diabetes mellitus, insulin-dependent}",HNF1A
"{Diabetes mellitus, noninsulin-dependent, 2}",HNF1A
"Diabetes mellitus, insulin-dependent, 20",HNF1A
"Hepatic adenoma, somatic",HNF1A
"MODY, type III",HNF1A
Renal cell carcinoma,"HNF1A,RNF139"
"{?Schizophrenia, susceptibility to}",NRG1
"Dyssegmental dysplasia, Silverman-Handmaker type",HSPG2
"Schwartz-Jampel syndrome, type 1",HSPG2
Hemolytic anemia due to hexokinase deficiency,HK1
Neurodevelopmental disorder with visual defects and brain anomalies,HK1
"Neuropathy, hereditary motor and sensory, Russe type",HK1
Retinitis pigmentosa 79,HK1
"Spastic paraplegia 86, autosomal recessive",ABHD16A
"Dystonia 2, torsion, autosomal recessive",HPCA
Thrombophilia 11 due to HRG deficiency,HRG
"{Gilles de la Tourette syndrome, susceptibility to}",HDC
"{Hypersensitivity syndrome, carbamazepine-induced, susceptibility to}",HLA-A
"Charcot-Marie-Tooth disease, axonal, type 2W",HARS1
Usher syndrome type 3B,HARS1
"{Abacavir hypersensitivity, susceptibility to}",HLA-B
{Drug-induced liver injury due to flucloxacillin},HLA-B
"{Spondyloarthropathy, susceptibility to, 1}",HLA-B
"{Stevens-Johnson syndrome, susceptibility to}",HLA-B
"{Synovitis, chronic, susceptibility to}",HLA-B
"{Toxic epidermal necrolysis, susceptibility to}",HLA-B
"{HIV-1 viremia, susceptibility to}",HLA-C
{Psoriasis susceptibility 1},HLA-C
"{Multiple sclerosis, susceptibility to, 1}","HLA-DRB1,HLA-DQB1"
"{Sarcoidosis, susceptibility to, 1}",HLA-DRB1
"{Beryllium disease, chronic, susceptibility to}",HLA-DPB1
"{Asthma, susceptibility to}","HLA-G,IL13,TNF,CCL11,HNMT,SCGB3A2"
[Low density lipoprotein cholesterol level QTL 3],HMGCR
"[Statins, response to]",HMGCR
"Muscular dystrophy, limb-girdle, autosomal recessive 28",HMGCR
Athabaskan brainstem dysgenesis syndrome,HOXA1
Bosley-Salih-Alorainy syndrome,HOXA1
Radioulnar synostosis with amegakaryocytic thrombocytopenia 1,HOXA11
?Guttmacher syndrome,HOXA13
Hand-foot-genital syndrome,HOXA13
"Facial paresis, hereditary congenital, 3",HOXB1
"Ectodermal dysplasia 9, hair/nail type",HOXC13
"Ectodermal dysplasia 3, Witkop type",MSX1
Orofacial cleft 5,MSX1
"Tooth agenesis, selective, 1, with or without orofacial cleft",MSX1
"Charcot-Marie-Tooth disease, foot deformity of",HOXD10
"Vertical talus, congenital",HOXD10
?Brachydactyly-syndactyly syndrome,HOXD13
"Brachydactyly, type D",HOXD13
"Brachydactyly, type E",HOXD13
"Syndactyly, type V",HOXD13
Synpolydactyly 1,HOXD13
Oculoauricular syndrome,HMX1
Microphthalmia with coloboma 3,VSX2
"Microphthalmia, isolated 2",VSX2
Currarino syndrome,MNX1
"Intellectual developmental disorder, autosomal dominant 43",HIVEP2
